topic,rank,doc
32,2,GENEVA: The United Nations said Wednesday it believes that a viral video showing the apparent execution of a captured Ukrainian soldier by Russian troops may be authentic. #BangkokPost #World #Ukraine
32,3,Office of #UN High Commissioner for Human Rights considers the #video with footage of the execution of #Russian prisoners of war by #Ukrainian militants to be authentic — UN Press Secretary
33,1,#Russia bombs Kyiv with cruise missiles during #UN visit to #Ukraine capital
33,2,#Russian Strikes Hit #Ukraine's Capital Kyiv as UN Chief #AntonioGuterres Visits
33,3,"‼️ Two missile strikes on Kyiv, during the visit of the UN Secretary General to the capital of #Ukraine."
34,1,"NATO · 12h ❌ MYTH: #NATO is at war with Russia in #Ukraine. ✅ FACT: NATO is not at war with Russia and we do not seek confrontation. What NATO does is support Ukraine in its right to self-defence, as enshrined in the Charter"
34,2,"❌MYTH: #NATO is at war w/ Russia in #Ukraine. ✅FACT: NATO is not at war w/ #Russia &amp; we do not seek confrontation. What NATO does is support Ukraine in its right to self-defence, as enshrined in the Charter. Top 5 🇷🇺 myths about NATO:"
34,3,"❌MYTH: #NATO is at war w/ Russia in Ukraine. ✅FACT: NATO is not at war w/ #Russia, &amp; we do not seek confrontation w/ Russia. What NATO does is support Ukraine in its right to self-defence, as enshrined in the UN Charter. Top 5 🇷🇺myths about NATO:"
35,1,UN chief welcomes evacuation of civilians from Azovstal steel plant in Mariupol #AntonioGuterres #civilians #mariupol #Moscow #steel
35,2,UN and Zelenskyi confirm: Operation to evacuate civilians from Azovstal steel plant underway - #mariupol #ukraine #russia #moscow #kyiv #war
35,3,"#UN Secretary-General #AntonioGuterres has welcomed the safe #evacuation of civilians from the #Azovstal steel plant in #Mariupol of #Ukraine. ""I am pleased that more than 100 civilians have successfully been evacuated from the Azovstal steel plant in Mariupol,"" he said."
36,1,"#UnitedNations #UN #All #Canada To all members of the United Nations Canada is killing me. Eight winters outside, welfare application denied, tents confiscated, not allowed a fire, eating from garbage cans, no address means I cannot get a passport, beaten for sitting."
36,2,"#UnitedNations #UN #All #Canada To members of the United Nations, please! Canada is killing me Eight winters outside, welfare application denied, tents confiscated, not allowed a fire, eating from garbage cans, i cannot get a passport to leave, beaten for sitting inside."
36,3,"#UnitedNations #UN #All #Canada To all members of the United Nations Canada is killing me. Eight winters outside, welfare application denied, tents confiscated, not allowed a fire, eating from garbage cans, with no address I cannot get a passport, beaten for sitting."
37,1,This is #Putin ==
37,2,#PUTIN IS A #FASCIST #NAZI LIKE #HITLER #PUTIN IS A #MASSMURDERER #PUTIN IS A #WARCRIMINAL #PUTIN IS A #THIEF WHO ROBS HIS OWN PEOPLE #PUTIN IS A #COWARD WHO FEARS HIS #MANHOOD IS TOO SMALL #Ukraine
37,3,#PUTIN IS A #FASCIST #NAZI LIKE #HITLER #PUTIN IS A #MASSMURDERER #PUTIN IS A #WARCRIMINAL #PUTIN IS A #THIEF WHO ROBS HIS OWN PEOPLE #PUTIN IS A #COWARD WHO FEARS HIS #MANHOOD IS TOO SMALL
38,1,UN: More than 5.5 million refugees have fled Ukraine #Ukraine
38,2,More than 1.7 million refugees have fled #Ukraine: UN
38,3,More than 4.5 million refugees have fled #Ukraine: UN
39,1,The prospect of a nuclear conflict in #Ukraine has become possible - UN Office for the Coordination of Humanitarian Affairs.
39,2,"#UKRAINE Breaking UN CHIEF 🚨👇 #NuclearConflict ""Raising the alert level of Russian nuclear forces is a bone-chilling development."" ""The prospect of nuclear conflict, once unthinkable, is now back within the realm of possibility."" // UnitedNations"
39,3,"chief: Nuclear conflict over Ukraine ""within the realm of possibility"" The prospect of nuclear conflict, once unthinkable, is now back within the realm of possibility, We are in #WW3, mark my words."
40,1,WHO BLEW UP THE NORD STREAM 2 PIPELINE?! #UkraineRussiaWar
40,2,NEW - Russia to request UN Security Council meeting over Nord Stream pipeline damage. #NordStream2
40,3,#Breaking:Russia to request UN Security Council meeting over Nord Stream pipeline damage. #NordStream2 #Nordstream #Nordstream1 #Nordstream1
41,1,#RussiaUkraineWar Russia tries to halt a UN probe into use of Iranian-made drones in Ukraine
41,2,#BREAKING: #France: Any #Iranian sale of drones to #Russia would be violation of UN Security Council resolution 2231. We are coordinating with EU partners to see how to respond to potential sale of #Iranian drones to Russia
41,3,Hello 👇🏻 Iranian drones in used by Russia #Ukraine #UN #UnitedNations
42,1,We want the whole world to hear Ukraine calling out: SAVE THE MILITARY OF MARIUPOL! UKRAINE NEEDS THE HEROES ALIVE! We are calling on the UN and all the civilized countries to organize and execute the extraction procedure for the military and their families #SaveMariupol #яАзов
42,2,We want the whole world to hear Ukraine calling out: SAVE THE MILITARY OF MARIUPOL! UKRAINE NEEDS THE HEROES ALIVE! We are calling on the UN and all the civilized countries to organize and execute the extraction procedure for the military and their families. #SaveMariupol #яАзов
42,3,‼️‼️ We want the whole world to hear Ukraine calling out: SAVE THE MILITARY OF MARIUPOL! UKRAINE NEEDS THE HEROES ALIVE! We are calling on the UN and all the civilized countries to organize and execute the extraction procedure for the military. #save_mariupol #stoprussia
43,1,"Run by , Radymno Shelter is home to 148 residents who fled the war in #Ukraine. 🇺🇦 IOM Poland: ✅ Renovated WASH facilities ✅ Upgraded the shelter's facade ✅ Installed a playground 🙏🏻 | |"
43,2,"As more people continue to flee the war in #Ukraine, #IOM is on the ground to provide humanitarian aid and protection support to forcibly displaced #Ukrainians and third-country nationals."
43,3,#Ukraine: Iom Moves To Provide Safer Temporary Accommodation To Internally Displaced Persons #Humanitarian
44,1,"Are you crazy, ? And this is on the day when Russia committed a terrorist act and blew up the Kakhovka hydroelectric power station! #RussiaIsATerroristState #NATO"
44,2,Are you crazy? And this is on the day when Russia committed a terrorist act and blew up the Kakhovka hydroelectric power station! #RussiaIsATerroristState
44,3,You're joking? this post is parallel to The destruction of the Kakhovka hydroelectric power plant dam. 🤬🤬🤬 #RussiaIsATerroristState
45,1,is the organization for the protection of #ruZZia #RussiaIsATerroristState
45,2,Tell it to ruzzia #russiaisaterrorisstate
45,3,WHO DID THAT? ruZZia not USA! #PutinWarCrimes
46,1,Shame on Ethiopia GoT and the ppl. Opposing USA🇺🇸’s imposition while welcoming dictators of #Russia and #Eritrea. This’s shameless Ethiopia ‼️ Stop ✋ #TigrayGenocide.
46,2,If UN general assembly suspended #Russia from why not #Ethiopia and #Eritrea
